Email_ID,Sender_Name,Sender_Type,Subject,Email_Body,Category,Response_Action,Sensitivity_Level,Requires_HOD_Intervention,Auto_Response
1,John Doe,Student,Request for Syllabus,"""Can you please send me the syllabus for course XYZ?""",Student Inquiries,Fetch syllabus,Low,No,Yes
2,Jane Smith,Corporate,Internship Opportunities,"""We are interested in offering internships to your students.""",Corporate Inquiries,Escalate to HOD,High,Yes,No
3,Dr. Liu,Researcher,Request for Research Data,"""I need access to shared research data on topic ABC for collaboration.""",Academic Collaboration Inquiries,Provide access details,Medium,No,Yes
4,Mike Johnson,Corporate,Partnership Legal Matters,"""We need to discuss legal agreements regarding our upcoming partnership.""",Corporate Inquiries,Escalate to HOD,High,Yes,No
5,Sarah Lee,Student,Course Material Access,"""Where can I find the course material for class DEF?""",Student Inquiries,Provide material link,Low,No,Yes
6,Prof. Kumar,Researcher,Facility Collaboration,"""I would like to inquire about using your research facilities for my project.""",Academic Collaboration Inquiries,Escalate to HOD,Medium,Yes,No
7,David Patel,Student,Query on Final Exam Schedule,"""When are the final exams scheduled for this semester?""",Student Inquiries,Provide exam schedule,Low,No,Yes
8,Alice Thompson,Corporate,Placement Collaboration,"""We are looking to hire graduates from your department for placements.""",Corporate Inquiries,Escalate to HOD,High,Yes,No
9,Dr. Akira Tanaka,Researcher,Data Sharing Request,"""Can I get access to the dataset related to renewable energy research?""",Academic Collaboration Inquiries,Provide access details,Medium,No,Yes
10,Emily Wong,Student,Query on Research Opportunities,"""Are there any research opportunities available in the AI department?""",Student Inquiries,Provide research info,Low,No,Yes
11,Bob Roberts,Corporate,Guest Lecture Proposal,"""We would like to offer a guest lecture on sustainable technologies.""",Corporate Inquiries,Escalate to HOD,Medium,Yes,No
12,Prof. Elena Ruiz,Researcher,Lab Access for Joint Research,"""I need access to your laboratory facilities for our joint research project.""",Academic Collaboration Inquiries,Escalate to HOD,Medium,Yes,No
13,Mark Evans,Student,Scholarship Information,"""How can I apply for scholarships in this academic year?""",Student Inquiries,Provide scholarship info,Low,No,Yes
14,Steve Carter,Corporate,Sponsorship Request,"""We would like to sponsor your research on AI and machine learning.""",Corporate Inquiries,Escalate to HOD,High,Yes,No
15,Priya Ramesh,Student,Enrollment Procedure Query,"""Can you guide me through the enrollment procedure for next semester?""",Student Inquiries,Provide enrollment info,Low,No,Yes
16,Prof. Daniel Cooper,Researcher,Request for Conference Details,"""I need information regarding the AI research conference next month.""",Academic Collaboration Inquiries,Provide conference info,Medium,No,Yes
17,Rebecca Green,Corporate,Internship Collaboration,"""We are interested in collaborating for internship placements.""",Corporate Inquiries,Escalate to HOD,High,Yes,No
18,Anjali Mehta,Student,Clarification on Assignment,"""Can you clarify the requirements for the latest programming assignment?""",Student Inquiries,Provide assignment clarification,Low,No,Yes
19,Dr. Susan Lee,Researcher,Inquiry on Research Grants,"""Can I get details on research grants available for renewable energy studies?""",Academic Collaboration Inquiries,Provide grant info,Medium,No,Yes
20,Jason Taylor,Corporate,Request for Collaboration,"""We are looking to collaborate on research related to AI-driven automation.""",Corporate Inquiries,Escalate to HOD,High,Yes,No
21,Lisa White,Student,Request for Exam Results,"""Can you send me the results for the recently concluded semester exams?""",Student Inquiries,Provide exam results,Low,No,Yes
22,Dr. Matthew Smith,Researcher,Equipment Sharing Inquiry,"""Can I borrow equipment from your lab for a research project?""",Academic Collaboration Inquiries,Escalate to HOD,Medium,Yes,No
23,Michael Bains,Corporate,Seminar Sponsorship Proposal,"""We would like to sponsor a seminar on data-driven AI research.""",Corporate Inquiries,Escalate to HOD,High,Yes,No
24,Karen Lopez,Student,Research Internship Request,"""I am interested in research internships in the AI department.""",Student Inquiries,Provide internship details,Low,No,Yes
25,Prof. Julia Adams,Researcher,Collaboration on AI Research,"""I would like to discuss collaborating on AI research with your department.""",Academic Collaboration Inquiries,Escalate to HOD,Medium,Yes,No
26,Ryan Clark,Corporate,Product Development Partnership,"""We are interested in collaborating on AI-based product development.""",Corporate Inquiries,Escalate to HOD,High,Yes,No
27,Olivia Turner,Student,Request for Research Paper,"""Can I get a copy of the research paper on AI automation?""",Student Inquiries,Provide research paper,Low,No,Yes
28,Dr. Nancy Young,Researcher,Inquiry on Research Symposium,"""I need details regarding the upcoming research symposium on AI.""",Academic Collaboration Inquiries,Provide symposium details,Medium,No,Yes
29,Richard Hughes,Corporate,Internship Placement Program,"""We are looking to set up an internship placement program with your department.""",Corporate Inquiries,Escalate to HOD,High,Yes,No
30,Megan Wilson,Student,Request for Course Extension,"""Can I get an extension for submitting my course project?""",Student Inquiries,Provide extension details,Low,No,Yes
31,Paul King,Student,Request for Project Guidelines,"""Can you provide the guidelines for the upcoming project in class GHI?""",Student Inquiries,Provide project guidelines,Low,No,Yes
32,Lisa Campbell,Corporate,Workshop Collaboration,"""We would like to collaborate on a workshop for your students.""",Corporate Inquiries,Escalate to HOD,Medium,Yes,No
33,Thomas Brown,Researcher,Data Access Inquiry,"""Could you help me access the dataset for my ongoing research on climate change?""",Academic Collaboration Inquiries,Provide access details,Medium,No,Yes
34,Rachel Green,Student,Feedback on Course,"""I would like to provide feedback on the recent course I attended.""",Student Inquiries,Provide feedback procedure,Low,No,Yes
35,David White,Corporate,Research Grant Partnership,"""We are interested in forming a partnership for a research grant proposal.""",Corporate Inquiries,Escalate to HOD,High,Yes,No
36,Mark Johnson,Researcher,Equipment Request,"""Can I request equipment for my research project this semester?""",Academic Collaboration Inquiries,Escalate to HOD,Medium,Yes,No
37,Emma Carter,Student,Academic Advisor Inquiry,"""Who is my academic advisor for this semester?""",Student Inquiries,Provide advisor details,Low,No,Yes
38,John Smith,Corporate,Technology Partnership Proposal,"""We would like to propose a partnership involving technology exchange.""",Corporate Inquiries,Escalate to HOD,High,Yes,No
39,Sophia Brown,Researcher,Funding Inquiry,"""Can you provide information on available funding for my research project?""",Academic Collaboration Inquiries,Provide funding info,Medium,No,Yes
40,Alice Johnson,Student,Class Attendance Query,"""What is the attendance policy for the upcoming semester?""",Student Inquiries,Provide attendance details,Low,No,Yes
41,Michael Davis,Corporate,Product Development Discussion,"""We need to discuss potential product development ideas with your department.""",Corporate Inquiries,Escalate to HOD,High,Yes,No
42,Olivia Martin,Researcher,Collaboration Proposal,"""I would like to propose a collaboration on a project related to renewable energy.""",Academic Collaboration Inquiries,Escalate to HOD,Medium,Yes,No
43,Ethan Lee,Student,Request for Study Resources,"""Can you share study resources for the final exams?""",Student Inquiries,Provide study resources,Low,No,Yes
44,Isabella Young,Corporate,Industry-Academia Partnership,"""We are interested in establishing an industry-academia partnership for mutual benefits.""",Corporate Inquiries,Escalate to HOD,High,Yes,No
